Año;GBARD_corrientes_CLP_MM;PIB_corrientes_2018_MM;Inflactor_IPC
2011;214;121509;1,640298056
2012;252;129973;1,616057198
2013;284;137309;1,568987571
2014;316;147951;1,499988118
2015;329;158623;1,436770228
2016;381;168765;1,3989973
2017;396;179315;1,367543793
2018;423;189435;1,332888687
2019;416;195532;1,294066687
2020;425;201258;1,256375424
2021;459;239562;1,171992
2022;;263843;1,039
2023;;281870;1
